0,0.000789
0.01,0.000752
0.02,0.000826
0.03,0.00101
0.04,0.00105
0.05,0.00101
0.06,0.00108
0.07,0.00101
0.08,0.000826
0.09,0.000899
0.1,0.000936
0.11,0.000973
0.12,0.00101
0.13,0.00105
0.14,0.00105
0.15,0.000863
0.16,0.000752
0.17,0.000679
0.18,0.000716
0.19,0.000789
0.2,0.000826
0.21,0.000789
0.22,0.000679
0.23,0.000532
0.24,0.000238
0.25,0.000202
0.26,0.000202
0.27,0.000238
0.28,0.000165
0.29,5.48e-05
0.3,-1.87e-05
0.31,-0.000276
0.32,-0.000312
0.33,-0.000423
0.34,-0.000569
0.35,-0.000496
0.36,-0.000459
0.37,-0.000643
0.38,-0.000643
0.39,-0.000753
0.4,-0.00105
0.41,-0.00105
0.42,-0.00105
0.43,-0.00108
0.44,-0.00105
0.45,-0.00105
0.46,-0.00119
0.47,-0.0013
0.48,-0.00134
0.49,-0.00138
0.5,-0.00141
0.51,-0.00141
0.52,-0.00127
0.53,-0.0013
0.54,-0.00123
0.55,-0.00134
0.56,-0.00138
0.57,-0.00134
0.58,-0.00127
0.59,-0.00116
0.6,-0.00108
0.61,-0.00101
0.62,-0.00101
0.63,-0.00108
0.64,-0.000973
0.65,-0.00101
0.66,-0.000937
0.67,-0.000716
0.68,-0.000643
0.69,-0.000606
0.7,-0.000569
0.71,-0.000496
0.72,-0.000496
0.73,-0.000496
0.74,-0.000386
0.75,-0.000129
0.76,-1.87e-05
0.77,-1.87e-05
0.78,-9.21e-05
0.79,-9.21e-05
0.8,-1.87e-05
0.81,-5.54e-05
0.82,9.15e-05
0.83,0.000128
0.84,0.000202
0.85,0.000312
0.86,0.000312
0.87,0.000238
0.88,0.000128
0.89,0.000202
0.9,0.000202
0.91,0.000275
0.92,0.000348
0.93,0.000312
0.94,0.000275
0.95,0.000165
0.96,9.15e-05
0.97,9.15e-05
0.98,5.48e-05
0.99,0.000165
1,0.000128
1.01,0.000165
1.02,5.48e-05
1.03,-9.21e-05
1.04,-0.000239
1.05,-0.000239
1.06,-0.000239
1.07,-0.000276
1.08,-0.000276
1.09,-0.000423
1.1,-0.000423
1.11,-0.000606
1.12,-0.000753
1.13,-0.000826
1.14,-0.000826
1.15,-0.000826
1.16,-0.00079
1.17,-0.000826
1.18,-0.000973
1.19,-0.00116
1.2,-0.00123
1.21,-0.00127
1.22,-0.00119
1.23,-0.00123
1.24,-0.00119
1.25,-0.00123
1.26,-0.00141
1.27,-0.00145
1.28,-0.00152
1.29,-0.00152
1.3,-0.00145
1.31,-0.00141
1.32,-0.00127
1.33,-0.00127
1.34,-0.00141
1.35,-0.00134
1.36,-0.00134
1.37,-0.00123
1.38,-0.00116
1.39,-0.00101
1.4,-0.0009
1.41,-0.00079
1.42,-0.00079
1.43,-0.00079
1.44,-0.000643
1.45,-0.000569
1.46,-0.000386
1.47,-0.000202
1.48,5.48e-05
1.49,0.000238
1.5,0.000128
1.51,0.000202
1.52,0.000312
1.53,0.000422
1.54,0.000606
1.55,0.000863
1.56,0.00101
1.57,0.00105
1.58,0.00108
1.59,0.00105
1.6,0.00116
1.61,0.00123
1.62,0.00141
1.63,0.0016
1.64,0.00167
1.65,0.00167
1.66,0.00167
1.67,0.00163
1.68,0.00167
1.69,0.00167
1.7,0.00178
1.71,0.00193
1.72,0.00204
1.73,0.00193
1.74,0.00171
1.75,0.0016
1.76,0.00156
1.77,0.0016
1.78,0.0016
1.79,0.0016
1.8,0.00167
1.81,0.00149
1.82,0.00138
1.83,0.00112
1.84,0.00108
1.85,0.000973
1.86,0.000936
1.87,0.000936
1.88,0.000863
1.89,0.000716
1.9,0.000459
1.91,0.000348
1.92,0.000165
1.93,0.000165
1.94,0.000165
1.95,0.000128
1.96,5.48e-05
1.97,-0.000239
1.98,-0.000276
1.99,-0.000496
2,-0.000496
2.01,-0.000606
2.02,-0.000643
2.03,-0.000606
2.04,-0.000606
2.05,-0.000716
2.06,-0.000753
2.07,-0.000973
2.08,-0.00101
2.09,-0.00101
2.1,-0.00101
2.11,-0.000937
2.12,-0.000863
2.13,-0.000937
2.14,-0.00112
2.15,-0.00112
2.16,-0.00127
2.17,-0.00112
2.18,-0.00108
2.19,-0.00105
2.2,-0.0009
2.21,-0.00101
2.22,-0.00116
2.23,-0.00112
2.24,-0.00116
2.25,-0.00116
2.26,-0.000937
2.27,-0.000863
2.28,-0.000863
2.29,-0.000937
2.3,-0.00112
2.31,-0.00105
2.32,-0.00116
2.33,-0.00105
2.34,-0.000937
2.35,-0.000863
2.36,-0.00079
2.37,-0.0009
2.38,-0.00105
2.39,-0.00108
2.4,-0.00116
2.41,-0.00112
2.42,-0.00101
2.43,-0.000973
2.44,-0.00105
2.45,-0.00108
2.46,-0.0013
2.47,-0.00141
2.48,-0.00145
2.49,-0.00152
2.5,-0.00149
2.51,-0.00156
2.52,-0.00167
2.53,-0.00174
2.54,-0.00182
2.55,-0.002
2.56,-0.00196
2.57,-0.00215
2.58,-0.00218
2.59,-0.00218
2.6,-0.0023
2.61,-0.00252
2.62,-0.0027
2.63,-0.00296
2.64,-0.00299
2.65,-0.00314
2.66,-0.00318
2.67,-0.00314
2.68,-0.00332
2.69,-0.00354
2.7,-0.00373
2.71,-0.00391
2.72,-0.00409
2.73,-0.00413
2.74,-0.00424
2.75,-0.00428
2.76,-0.00439
2.77,-0.0045
2.78,-0.00468
2.79,-0.0049
2.8,-0.00498
2.81,-0.00498
2.82,-0.00498
2.83,-0.00505
2.84,-0.00512
2.85,-0.00527
2.86,-0.00542
